"";"ptt.dèj";"goûter";"soirée";"après.déjeuner";"après.dîner";"tt.moment";"maison";"travail";"salon.de.t";"amis";"resto";"bar";"variété";"comment";"sucre";"forme";"lieuachat";"type";"sexe";"CSP";"Sport";"âge";"âge_Q";"fréquence";"évasion.exotisme";"spiritualité";"bon.pr.la.santé";"diurétique";"convivialité";"absorption.fer";"féminin";"raffiné";"amaigrissant";"excitant";"relaxant";"ss.effet.santé"
"1";"ptt dèj";"Pas.goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"Pas.travail";"Pas.salon de t";"Pas.amis";"Pas.resto";"Pas.bar";"noir";"pur";"sucré";"sachet";"GMS";"t_inconnu";"H";"cadre moyen";"sportif";39;"35-44";"1/jour";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"Pas.diurétique";"Pas.convivialité";"Pas.absorption fer";"Pas.féminin";"Pas.raffiné";"Pas.amaigrissant";"Pas.excitant";"Pas.relaxant";"Pas.ss effet santé"
"2";"ptt dèj";"Pas.goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"Pas.travail";"Pas.salon de t";"Pas.amis";"Pas.resto";"Pas.bar";"noir";"lait";"Pas.sucré";"sachet";"GMS";"t_variable";"F";"cadre moyen";"sportif";45;"45-59";"1/jour";"évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"diurétique";"Pas.convivialité";"Pas.absorption fer";"Pas.féminin";"Pas.raffiné";"Pas.amaigrissant";"excitant";"Pas.relaxant";"Pas.ss effet santé"
"3";"Pas.ptt dèj";"goûter";"soirée";"Pas.après dèj";"après dîner";"Pas.tt moment";"maison";"travail";"Pas.salon de t";"amis";"resto";"Pas.bar";"parfumé";"pur";"Pas.sucré";"sachet";"GMS";"t_variable";"F";"autre actif";"sportif";47;"45-59";"+ de 2/jour";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"Pas.raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"4";"Pas.ptt dèj";"Pas.goûter";"Pas.soirée";"Pas.après dèj";"après dîner";"Pas.tt moment";"maison";"Pas.travail";"Pas.salon de t";"Pas.amis";"Pas.resto";"Pas.bar";"parfumé";"pur";"sucré";"sachet";"GMS";"t_variable";"H";"étudiant";"Pas.sportif";23;"15-24";"1/jour";"évasion-exotisme";"spiritualité";"bon pr la santé";"Pas.diurétique";"Pas.convivialité";"Pas.absorption fer";"Pas.féminin";"raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"5";"ptt dèj";"Pas.goûter";"soirée";"Pas.après dèj";"Pas.après dîner";"tt moment";"maison";"Pas.travail";"Pas.salon de t";"Pas.amis";"Pas.resto";"Pas.bar";"parfumé";"pur";"Pas.sucré";"sachet";"GMS";"t_variable";"H";"employé";"sportif";48;"45-59";"+ de 2/jour";"évasion-exotisme";"spiritualité";"Pas.bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"Pas.raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"6";"Pas.ptt dèj";"Pas.goûter";"Pas.soirée";"Pas.après dèj";"après dîner";"Pas.tt moment";"maison";"Pas.travail";"Pas.salon de t";"Pas.amis";"Pas.resto";"Pas.bar";"parfumé";"pur";"Pas.sucré";"sachet";"GMS";"t_MDD";"H";"étudiant";"sportif";21;"15-24";"1/jour";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"Pas.diurétique";"Pas.convivialité";"Pas.absorption fer";"Pas.féminin";"Pas.raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"7";"ptt dèj";"goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"Pas.travail";"Pas.salon de t";"amis";"Pas.resto";"Pas.bar";"parfumé";"pur";"Pas.sucré";"sachet";"GMS";"t_variable";"H";"cadre sup";"sportif";37;"35-44";"3 à 6/sem";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"Pas.diurétique";"Pas.convivialité";"Pas.absorption fer";"Pas.féminin";"Pas.raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"8";"Pas.ptt dèj";"goûter";"soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"Pas.travail";"Pas.salon de t";"Pas.amis";"Pas.resto";"Pas.bar";"noir";"lait";"Pas.sucré";"sachet";"GMS";"t_variable";"F";"cadre moyen";"sportif";36;"35-44";"1 à 2/sem";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"Pas.diurétique";"convivialité";"Pas.absorption fer";"féminin";"raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"9";"ptt dèj";"goûter";"Pas.soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"Pas.travail";"Pas.salon de t";"Pas.amis";"Pas.resto";"Pas.bar";"parfumé";"lait";"Pas.sucré";"sachet+vrac";"GMS+mag.spé.";"t_haut_de_gamme";"H";"cadre sup";"sportif";40;"35-44";"+ de 2/jour";"Pas.évasion-exotisme";"Pas.spiritualité";"Pas.bon pr la santé";"Pas.diurétique";"Pas.convivialité";"Pas.absorption fer";"Pas.féminin";"raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
"10";"ptt dèj";"Pas.goûter";"soirée";"Pas.après dèj";"Pas.après dîner";"Pas.tt moment";"maison";"Pas.travail";"salon de t";"Pas.amis";"Pas.resto";"Pas.bar";"noir";"pur";"Pas.sucré";"sachet+vrac";"GMS+mag.spé.";"t_haut_de_gamme";"H";"cadre sup";"Pas.sportif";37;"35-44";"+ de 2/jour";"Pas.évasion-exotisme";"Pas.spiritualité";"bon pr la santé";"diurétique";"convivialité";"Pas.absorption fer";"Pas.féminin";"Pas.raffiné";"Pas.amaigrissant";"Pas.excitant";"relaxant";"Pas.ss effet santé"
